ID группы;ID производителя;Наименование материала;Декор;Текстура;Завал постформинга;Единица измерения;Стоимость;Длина;Ширина;Толщина;Текстура
3;1;Камень Сонора белый;F041;ST15;300/3;м;32.32;4100;600;38;F041 ST15.jpg
3;1;Мрамор Латина;F104;ST2;300/3;м;32.32;4100;600;38;F104 ST2.jpg
3;1;Травертин Тиволи бежевый;F292;ST9;300/3;м;36.6;4100;600;38;F292 ST9.jpg
3;1;Цемент;F385;ST10;300/3;м;32.32;4100;600;38;F385 ST10.jpg
3;1;Алюминий мелкоматированный;F502;ST2;300/3;м;32.32;4100;600;38;F502 ST2.jpg
3;1;Дуб Бардалино натуральный;H1145;ST10;300/3;м;32.32;4100;600;38;H1145 ST10.jpg
3;1;Дуб Гамильтон натуральный;H3303;ST10;300/3;м;32.32;4100;600;38;H3303 ST10.jpg
3;1;Гранит Верчелли антрацит;F028;ST89;300/3;м;34.67;4100;600;38;F028 ST89.jpg
3;1;Мрамор Чиполлино серый;F093;ST15;300/3;м;34.67;4100;600;38;F093 ST15.jpg
3;1;Мрамор Чиполлино черная медь;F094;ST15;300/3;м;34.67;4100;600;38;F094 ST15.jpg
3;1;Мрамор Флоренция серый;F112;ST9;300/3;м;34.67;4100;600;38;F112 ST9.jpg
3;1;Мрамор Пелаго белый;F166;ST9;300/3;м;34.67;4100;600;38;F166 ST9.jpg
3;1;Бетон Чикаго светло-серый;F186;ST9;300/3;м;34.67;4100;600;38;F186 ST9.jpg
3;1;Бетон Чикаго тёмно-серый;F187;ST9;300/3;м;34.67;4100;600;38;F187 ST9.jpg
3;1;Камень Пьетра Гриджиа антрацит;F205;ST9;300/3;м;34.67;4100;600;38;F205 ST9.jpg
3;1;Камень Пьетра Гриджиа чёрный;F206;ST9;300/3;м;34.67;4100;600;38;F206 ST9.jpg
3;1;Керамика Тессина крем;F221;ST87;300/3;м;34.67;4100;600;38;F221 ST87.jpg
3;1;Керамика антрацит;F311;ST87;300/3;м;34.67;4100;600;38;F311 ST87.jpg
3;1;Карпет винтаж чёрный;F508;ST10;300/3;м;34.67;4100;600;38;F508 ST10.jpg
3;1;Деревянные блоки натуральные;H050;ST9;300/3;м;34.67;4100;600;38;H050 ST9.jpg
3;1;Дуб термо черно-коричневый;H1199;ST12;300/3;м;34.67;4100;600;38;H1199 ST12.jpg
3;1;Дуб Уайт-Ривер серо-коричневый;H1313;ST10;300/3;м;34.67;4100;600;38;H1313 ST10.jpg
3;1;Дикий дуб натуральный;H1318;ST10;300/3;м;34.67;4100;600;38;H1318 ST10.jpg
3;1;Сосна Касцина;H1401;ST22;300/3;м;34.67;4100;600;38;H1401 ST22.jpg
